,relStudies
https://www.icpsr.umich.edu/web/ICPSR/studies/21600,6113
https://www.icpsr.umich.edu/web/ICPSR/studies/7610,2358
https://www.icpsr.umich.edu/web/ICPSR/studies/2231,1640
https://www.icpsr.umich.edu/web/ICPSR/series/57,1352
https://www.icpsr.umich.edu/web/ICPSR/studies/4652,1253
https://www.icpsr.umich.edu/web/ICPSR/studies/7010,1237
https://www.icpsr.umich.edu/web/ICPSR/studies/7763,1118
https://www.icpsr.umich.edu/web/ICPSR/studies/20240,1040
https://www.icpsr.umich.edu/web/ICPSR/studies/7381,975
https://www.icpsr.umich.edu/web/ICPSR/studies/7281,925
https://www.icpsr.umich.edu/web/ICPSR/studies/7235,882
https://www.icpsr.umich.edu/web/ICPSR/studies/25502,867
https://www.icpsr.umich.edu/web/ICPSR/studies/25501,822
https://www.icpsr.umich.edu/web/ICPSR/studies/8298,821
https://www.icpsr.umich.edu/web/ICPSR/studies/2760,818
https://www.icpsr.umich.edu/web/ICPSR/studies/6041,818
https://www.icpsr.umich.edu/web/ICPSR/studies/8475,801
https://www.icpsr.umich.edu/web/ICPSR/series/3,772
https://www.icpsr.umich.edu/web/ICPSR/studies/22626,737
https://www.icpsr.umich.edu/web/ICPSR/studies/25503,724
https://www.icpsr.umich.edu/web/ICPSR/studies/6067,722
https://www.icpsr.umich.edu/web/ICPSR/studies/7216,714
https://www.icpsr.umich.edu/web/ICPSR/studies/9028,708
https://www.icpsr.umich.edu/web/ICPSR/studies/37107,704
https://www.icpsr.umich.edu/web/ICPSR/studies/9196,689
https://www.icpsr.umich.edu/web/ICPSR/studies/21940,664
https://www.icpsr.umich.edu/web/ICPSR/studies/4531,644
https://www.icpsr.umich.edu/web/ICPSR/studies/21941,628
https://www.icpsr.umich.edu/web/ICPSR/studies/2896,627
https://www.icpsr.umich.edu/web/ICPSR/studies/36151,624
https://www.icpsr.umich.edu/web/ICPSR/studies/7214,623
https://www.icpsr.umich.edu/web/ICPSR/studies/21942,613
https://www.icpsr.umich.edu/web/ICPSR/studies/6906,611
https://www.icpsr.umich.edu/web/ICPSR/studies/6153,606
https://www.icpsr.umich.edu/web/ICPSR/studies/7655,570
https://www.icpsr.umich.edu/web/ICPSR/studies/7355,555
https://www.icpsr.umich.edu/web/ICPSR/studies/31381,551
https://www.icpsr.umich.edu/web/ICPSR/series/206,550
https://www.icpsr.umich.edu/web/ICPSR/studies/4690,534
https://www.icpsr.umich.edu/web/ICPSR/studies/29961,530
https://www.icpsr.umich.edu/web/ICPSR/studies/7298,522
https://www.icpsr.umich.edu/web/ICPSR/studies/6896,517
https://www.icpsr.umich.edu/web/ICPSR/studies/7213,516
https://www.icpsr.umich.edu/web/ICPSR/series/95,504
https://www.icpsr.umich.edu/web/ICPSR/series/24,500
https://www.icpsr.umich.edu/web/ICPSR/studies/7896,499
https://www.icpsr.umich.edu/web/ICPSR/studies/9681,497
https://www.icpsr.umich.edu/web/ICPSR/studies/7259,478
https://www.icpsr.umich.edu/web/ICPSR/studies/29282,454
https://www.icpsr.umich.edu/web/ICPSR/studies/6854,450
https://www.icpsr.umich.edu/web/ICPSR/studies/8678,447
https://www.icpsr.umich.edu/web/ICPSR/studies/9422,437
https://www.icpsr.umich.edu/web/ICPSR/studies/26701,436
https://www.icpsr.umich.edu/web/ICPSR/studies/25504,435
https://www.icpsr.umich.edu/web/ICPSR/studies/9042,432
https://www.icpsr.umich.edu/web/ICPSR/studies/21240,431
https://www.icpsr.umich.edu/web/ICPSR/studies/6693,428
https://www.icpsr.umich.edu/web/ICPSR/studies/8085,426
https://www.icpsr.umich.edu/web/ICPSR/studies/4596,426
https://www.icpsr.umich.edu/web/ICPSR/studies/9389,424
https://www.icpsr.umich.edu/web/ICPSR/studies/23782,421
https://www.icpsr.umich.edu/web/ICPSR/studies/7215,421
https://www.icpsr.umich.edu/web/ICPSR/studies/29621,410
https://www.icpsr.umich.edu/web/ICPSR/studies/3676,407
https://www.icpsr.umich.edu/web/ICPSR/studies/34315,406
https://www.icpsr.umich.edu/web/ICPSR/studies/22361,393
https://www.icpsr.umich.edu/web/ICPSR/studies/3903,387
https://www.icpsr.umich.edu/web/ICPSR/studies/36346,386
https://www.icpsr.umich.edu/web/ICPSR/studies/9548,383
https://www.icpsr.umich.edu/web/ICPSR/studies/7217,383
https://www.icpsr.umich.edu/web/ICPSR/studies/20541,382
https://www.icpsr.umich.edu/web/ICPSR/studies/4373,379
https://www.icpsr.umich.edu/web/ICPSR/studies/31622,374
https://www.icpsr.umich.edu/web/ICPSR/studies/36498,371
https://www.icpsr.umich.edu/web/ICPSR/studies/4368,369
https://www.icpsr.umich.edu/web/ICPSR/studies/4138,368
https://www.icpsr.umich.edu/web/ICPSR/studies/28762,360
https://www.icpsr.umich.edu/web/ICPSR/studies/36280,359
https://www.icpsr.umich.edu/web/ICPSR/studies/32722,356
https://www.icpsr.umich.edu/web/ICPSR/studies/8297,351
https://www.icpsr.umich.edu/web/ICPSR/studies/9905,351
https://www.icpsr.umich.edu/web/ICPSR/studies/34921,338
https://www.icpsr.umich.edu/web/ICPSR/studies/4572,338
https://www.icpsr.umich.edu/web/ICPSR/studies/34640,337
https://www.icpsr.umich.edu/web/ICPSR/studies/36693,336
https://www.icpsr.umich.edu/web/ICPSR/studies/8609,332
https://www.icpsr.umich.edu/web/ICPSR/studies/35233,332
https://www.icpsr.umich.edu/web/ICPSR/studies/6507,331
https://www.icpsr.umich.edu/web/ICPSR/studies/3131,328
https://www.icpsr.umich.edu/web/ICPSR/studies/8488,323
https://www.icpsr.umich.edu/web/ICPSR/studies/4701,321
https://www.icpsr.umich.edu/web/ICPSR/studies/7863,317
https://www.icpsr.umich.edu/web/ICPSR/studies/30501,316
https://www.icpsr.umich.edu/web/ICPSR/studies/8900,315
https://www.icpsr.umich.edu/web/ICPSR/studies/9090,308
https://www.icpsr.umich.edu/web/ICPSR/studies/9475,308
https://www.icpsr.umich.edu/web/ICPSR/studies/31181,305
https://www.icpsr.umich.edu/web/ICPSR/studies/20520,303
https://www.icpsr.umich.edu/web/ICPSR/studies/8432,302
https://www.icpsr.umich.edu/web/ICPSR/studies/30142,302
https://www.icpsr.umich.edu/web/ICPSR/studies/33681,301
https://www.icpsr.umich.edu/web/ICPSR/studies/2766,299
https://www.icpsr.umich.edu/web/ICPSR/studies/36692,298
https://www.icpsr.umich.edu/web/ICPSR/studies/37100,298
https://www.icpsr.umich.edu/web/ICPSR/studies/8300,294
https://www.icpsr.umich.edu/web/ICPSR/studies/34481,291
https://www.icpsr.umich.edu/web/ICPSR/studies/21741,290
https://www.icpsr.umich.edu/web/ICPSR/studies/4598,287
https://www.icpsr.umich.edu/web/ICPSR/studies/9037,286
https://www.icpsr.umich.edu/web/ICPSR/studies/8192,285
https://www.icpsr.umich.edu/web/ICPSR/studies/37274,285
https://www.icpsr.umich.edu/web/ICPSR/studies/8863,284
https://www.icpsr.umich.edu/web/ICPSR/studies/30544,284
https://www.icpsr.umich.edu/web/ICPSR/studies/7535,279
https://www.icpsr.umich.edu/web/ICPSR/studies/9374,278
https://www.icpsr.umich.edu/web/ICPSR/studies/21280,276
https://www.icpsr.umich.edu/web/ICPSR/studies/26941,276
https://www.icpsr.umich.edu/web/ICPSR/studies/8660,275
https://www.icpsr.umich.edu/web/ICPSR/series/606,275
https://www.icpsr.umich.edu/web/ICPSR/studies/9859,275
https://www.icpsr.umich.edu/web/ICPSR/studies/29701,275
https://www.icpsr.umich.edu/web/ICPSR/studies/24421,273
https://www.icpsr.umich.edu/web/ICPSR/studies/37269,273
https://www.icpsr.umich.edu/web/ICPSR/studies/29221,271
https://www.icpsr.umich.edu/web/ICPSR/studies/6517,268
https://www.icpsr.umich.edu/web/ICPSR/studies/6367,266
https://www.icpsr.umich.edu/web/ICPSR/studies/7837,266
https://www.icpsr.umich.edu/web/ICPSR/studies/4091,264
https://www.icpsr.umich.edu/web/ICPSR/studies/29401,261
https://www.icpsr.umich.edu/web/ICPSR/studies/4352,260
https://www.icpsr.umich.edu/web/ICPSR/studies/9739,260
https://www.icpsr.umich.edu/web/ICPSR/studies/4085,257
https://www.icpsr.umich.edu/web/ICPSR/studies/6716,255
https://www.icpsr.umich.edu/web/ICPSR/studies/6133,254
https://www.icpsr.umich.edu/web/ICPSR/series/165,253
https://www.icpsr.umich.edu/web/ICPSR/studies/2851,253
https://www.icpsr.umich.edu/web/ICPSR/studies/37270,251
https://www.icpsr.umich.edu/web/ICPSR/studies/7683,251
https://www.icpsr.umich.edu/web/ICPSR/studies/2268,251
https://www.icpsr.umich.edu/web/ICPSR/studies/2477,250
https://www.icpsr.umich.edu/web/ICPSR/studies/37667,249
https://www.icpsr.umich.edu/web/ICPSR/studies/20862,249
https://www.icpsr.umich.edu/web/ICPSR/studies/9871,248
